customer_id,month,year,month_date,total_credits,total_debits,payroll_paid,operating_expenses,tax_payments,existing_emi,operating_surplus,avg_daily_balance,dscr,cheque_returns,cash_withdrawals
CUST_006,3,2024,2024-03-01,293526,310019,61633,132086,35223,81077,-16493,518703,2.17,0,14676
CUST_006,4,2024,2024-04-01,291800,336651,89248,131310,35016,81077,-44851,585697,2.16,0,14590
CUST_006,5,2024,2024-05-01,267672,312790,79141,120452,32120,81077,-45118,442854,1.98,0,13383
CUST_006,6,2024,2024-06-01,337597,335956,62450,151918,40511,81077,1641,583570,2.5,0,16879
CUST_006,7,2024,2024-07-01,315035,324931,64285,141765,37804,81077,-9896,413541,2.33,0,15751
CUST_006,8,2024,2024-08-01,330485,362022,92569,148718,39658,81077,-31537,519231,2.45,0,16524
CUST_006,9,2024,2024-09-01,316564,322515,60998,142453,37987,81077,-5951,534381,2.34,0,15828
CUST_006,10,2024,2024-10-01,284781,336736,93335,128151,34173,81077,-51955,434192,2.11,0,14239
CUST_006,11,2024,2024-11-01,311648,358345,99630,140241,37397,81077,-46697,497408,2.31,0,15582
CUST_006,12,2024,2024-12-01,333459,331749,60601,150056,40015,81077,1710,550759,2.47,0,16672
